Nom,Lien_Toonily,Lien_MangaDemon,Lien_ScanManga,Dernier_Vu
 (doujinshi),0,https://mgdemon.org/manga/-%2528Doujinshi%2529-VA54,0,-1
 bathory's deadly curse,0,https://mgdemon.org/manga/-Bathory%255C%2527s-Deadly-Curse-VA54,0,-1
 cinderella girls shuffle!!,0,https://mgdemon.org/manga/-Cinderella-Girls-Shuffle%2521%2521-VA54,0,3
 falling for the enemy,0,https://mgdemon.org/manga/-Falling-for-the-Enemy-VA54,0,-1
 i tamed the crazy marquis,0,https://mgdemon.org/manga/-I-Tamed-the-Crazy-Marquis-VA54,0,-1
 i've become the villainous empress of a novel,0,https://mgdemon.org/manga/-I%255C%2527ve-Become-the-Villainous-Empress-of-a-Novel-VA54,0,-1
 martial arts reigns,0,https://mgdemon.org/manga/-Martial-Arts-Reigns-VA54,0,-1
 relife player,0,https://mgdemon.org/manga/-Relife-Player-VA54,0,-1
 the player that can't level up,0,https://mgdemon.org/manga/-The-Player-That-Can%2527t-Level-Up-VA54,0,-1
 the strongest manager in history,0,https://mgdemon.org/manga/-The-Strongest-Manager-in-History-VA54,0,-1
 tougen anki,0,https://mgdemon.org/manga/-Tougen-Anki-VA54,0,-1
#dense #summer #firstlove,0,0,https://m.scan-manga.com/12862/Dense-Summer-Firstlove.html,-1
#drcl - midnight children,0,0,https://m.scan-manga.com/8866-09553/DRCL-Midnight-Children.html,-1
$100 is too cheap,0,0,https://m.scan-manga.com/95/%24100-is-Too-Cheap.html,-1
'kyodaika' shite gyaku ni taido ga chisaku naru gal,0,0,https://m.scan-manga.com/11596/-Kyodaika-Shite-Gyaku-ni-Taido-ga-Chisaku-Naru-Gal.html,-1
'mi' seijuku,0,0,https://m.scan-manga.com/6158/-Mi-Seijuku.html,-1
'n' to 'ou' de tsuuji au kankei,0,0,https://m.scan-manga.com/9680/-N-to-Ou-de-Tsuuji-Au-Kankei.html,-1
'nobukuni-san' does she like me ?,0,0,https://m.scan-manga.com/10204/-Nobukuni-san-Does-She-Like-Me.html,-1
